"","long","lat"
"V.1",180.000005008956,90.0000025044782
"V.2",144.000017667543,-90.0000025044782
"V.3",326.219397024647,27.189244802677
"V.4",327.557212516999,25.4776796513945
"V.5",328.852189062877,23.7645042830153
"V.6",330.106676247355,22.0530945185364
"V.7",331.324553617881,20.3456889524585
"V.8",332.508443967098,18.6431225754076
"V.9",333.66266397456,16.9457932459027
"V.10",334.790656055609,15.2540578413281
"V.11",335.896299757694,13.5695001117975
"V.12",336.979950250652,11.8906601043759
"V.13",338.046771157495,10.2168454086361
"V.14",339.099740440700,8.54759413303556
"V.15",340.141535534424,6.88216136006785
"V.16",341.174861193577,5.2200100661095
"V.17",342.20242217307,3.56039938907899
"V.18",343.226704661762,1.9026238985011
"V.19",344.25027681078,0.245820962827992
"V.20",345.275570167469,-1.41064996161843
"V.21",346.305180203714,-3.06761404706727
"V.22",347.341647749885,-4.72573232776413
"V.23",348.387540957110,-6.38580468289385
"V.24",349.445400655762,-8.04841146509247
"V.25",350.518122846048,-9.71415970742247
"V.26",351.608439603635,-11.3835134358606
"V.27",352.718700513599,-13.0589443251127
"V.28",353.854342406519,-14.7386142005185
"V.29",355.016731320228,-16.4223548686696
"V.30",356.209091104015,-18.1098794616209
"V.31",357.434672927926,-19.8013109227775
"V.32",358.697438301678,-21.4948051010633
"V.33",360.000010017913,-23.1887210435305
"V.34",1.34468965086485,-24.8795224197361
"V.35",2.21937648258138,-27.189244802677
"V.36",2.27447263040811,-29.2783811037305
"V.37",2.33367671013378,-31.3563739511530
"V.38",2.39710782318204,-33.4206381183439
"V.39",2.46587630217985,-35.470309586373
"V.40",2.53938407868799,-37.5051663740924
"V.41",2.61882771647170,-39.5262295947829
"V.42",2.70505415898806,-41.5342403239696
"V.43",2.80068811986905,-43.529085863531
"V.44",2.90259262129494,-45.5116029116406
"V.45",3.0141859595019,-47.4844176760341
"V.46",3.13696522657864,-49.4488313077485
"V.47",3.272459744569,-51.4063669389688
"V.48",3.42282294405224,-53.3583325509209
"V.49",3.59071625092715,-55.3062307852222
"V.50",3.77926789183358,-57.2514823212202
"V.51",3.99246541658636,-59.1956102910997
"V.52",4.23540884206137,-61.1399260911814
"V.53",4.51482377015695,-63.0859016272314
"V.54",4.83962701283456,-65.0348687861378
"V.55",5.22156094593792,-66.9881457944106
"V.56",5.67695740554617,-68.9468459728843
"V.57",6.2295047683614,-70.9120484914479
"V.58",6.91370146610767,-72.8844910105317
"V.59",7.77698145502346,-74.8662020963192
"V.60",8.91589842365016,-76.8560274468407
"V.61",10.4734931817939,-78.8515013638057
"V.62",12.7272583861859,-80.8484574318207
"V.63",16.2595521871605,-82.8376817256952
"V.64",22.5248403165836,-84.7922154887752
"V.65",35.9999975866967,-86.62368290339
"V.66",72.0000566450959,-87.9243421666571
"V.67",38.2193753499385,27.189244802677
"V.68",39.5571976724798,25.4776796513945
"V.69",40.8521776334521,23.7645042830153
"V.70",42.10666481793,22.0530945185364
"V.71",43.3245524337404,20.3456889524585
"V.72",44.508442782957,18.6431225754076
"V.73",45.662638884757,16.9457932459027
"V.74",46.7906377959955,15.2540578413281
"V.75",47.8962985735534,13.5695001117975
"V.76",48.9799388212272,11.8906601043759
"V.77",50.0467699733536,10.2168454086361
"V.78",51.0997255961811,8.54759413303556
"V.79",52.1415343502831,6.88216136006785
"V.80",53.1748634245306,5.2200100661095
"V.81",54.2024209889294,3.56039938907899
"V.82",55.2267034776212,1.9026238985011
"V.83",56.2502790417339,0.245820962827992
"V.84",57.2755689833283,-1.41064996161843
"V.85",58.3051721893835,-3.06761404706727
"V.86",59.3416465657438,-4.72573232776413
"V.87",60.3875397729695,-6.38580468289385
"V.88",61.4454063018102,-8.04841146509247
"V.89",62.5181080015282,-9.71415970742247
"V.90",63.608438419494,-11.3835134358606
"V.91",64.718699329458,-13.0589443251127
"V.92",65.8543275619993,-14.7386142005185
"V.93",67.0167233058979,-16.4223548686696
"V.94",68.2090830896854,-18.1098794616209
"V.95",69.4346649135958,-19.8013109227775
"V.96",70.6974302873477,-21.4948051010633
"V.97",72.0000020035825,-23.1887210435305
"V.98",73.3446886662396,-24.8795224197361
"V.99",74.2193763517298,-27.189244802677
"V.100",74.2744754877643,-29.2783811037305
"V.101",74.33367956749,-31.3563739511530
"V.102",74.3971115343119,-33.4206381183439
"V.103",74.4658778788756,-35.470309586373
"V.104",74.5393843747232,-37.5051663740924
"V.105",74.6188263049597,-39.5262295947829
"V.106",74.705057443231,-41.5342403239696
"V.107",74.8006869218004,-43.529085863531
"V.108",74.902593344217,-45.5116029116406
"V.109",75.0141849748767,-47.4844176760341
"V.110",75.1369644553968,-49.4488313077485
"V.111",75.2724617481515,-51.4063669389688
"V.112",75.4228215325402,-53.3583325509209
"V.113",75.5907212427174,-55.3062307852222
"V.114",75.7792686147557,-57.2514823212202
"V.115",75.9924661395084,-59.1956102910997
"V.116",76.2354091380966,-61.1399260911814
"V.117",76.5148253468527,-63.0859016272314
"V.118",76.8396281626435,-65.0348687861378
"V.119",77.2215655108414,-66.9881457944106
"V.120",77.6769615435628,-68.9468459728843
"V.121",78.2295033568493,-70.9120484914479
"V.122",78.913703896577,-72.8844910105317
"V.123",79.7769851661533,-74.8662020963192
"V.124",80.9158987196854,-76.8560274468407
